Company,Role / Title,Location,Experience level,Listing type,Source,Apply link,Recruiter/company email (public only),Match for profile,Applied? (fill in)
Stage Startup,Founding Engineer (Full-Stack) | Remote | Early,Remote,Founding (any level),Direct job posting,Wellfound,https://wellfound.com/jobs/4182242-founding-engineer-full-stack-remote-early-stage-startup,,High,
Landeed (YC),Founding Fullstack Engineer: React/React Native (India),India,Founding (any level),Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/54133,,High,
"Spur (YC, AI QA, TypeScript/React)",Founding Engineer / Full Stack,See listing,Founding (any level),Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/71504,,High,
"Credal.ai (YC, React/TS/Next.js)","Founding Software Engineer, Full-Stack",See listing,Founding (any level),Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/63741,,High,
Espa Labs (agentic AI assistant),Software Engineer INTERN,See listing,Intern,Direct job posting,Ashby,https://jobs.ashbyhq.com/espa/6fa2d441-971f-44c4-9a4e-3304ea041cc8,,High,
Outmarket AI (US/India remote),Full Stack AI Engineer,"India, Remote, US",Not specified,Direct job posting,Ashby,https://jobs.ashbyhq.com/outmarket/716e3319-1d72-4f8d-b5d9-efb9de1cf72f/application,,High,
Sujho AI Private Limited,Founding Engineer,See listing,Founding (any level),Direct job posting,BeBee,https://bebee.com/in/jobs/founding-engineer-sujho-ai-private-limited-gurugram--techmap_in_Z3xwNn5kjRHuY5YTyokXsEIu2oQmnqixm-S7_Z8Fe8XZsu3gRj1OfQ,,High,
Sujho AI - BeBee (theirstack listing),Founding Engineer,See listing,Founding (any level),Direct job posting,BeBee,https://bebee.com/in/jobs/founding-engineer-sujho-ai-gurugram--theirstack-691113391,,High,
"TrustCheckr, Bengaluru",Fullstack Developer - MERN,Bengaluru,Not specified,Direct job posting,Cutshort,https://cutshort.io/job/Fullstack-Developer-MERN-Bengaluru-Bangalore-TrustCheckr-5k5rGEPL,,High,
"Ajjas, Bhopal",React Native & MERN Full Stack Developer,Bhopal,Not specified,Direct job posting,Cutshort,https://cutshort.io/job/React-Native-MERN-Full-Stack-Developer-Bhopal-Ajjas-EKkeWbR3,,High,
"Sujho AI Private Limited, Gurgaon",Founding Engineer,Gurgaon,Founding (any level),Direct job posting,Glassdoor,"https://www.glassdoor.co.in/job-listing/founding-engineer-sujho-ai-private-limited-JV_IC2921225_KO0,17_KE18,42.htm?jl=1010148136638",,High,
"Kayzen (LLM APIs, India team)",Fullstack Engineer (m/f/d),India,Not specified,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/kayzen/jobs/4914237101,,High,
React.js/Node.js,Full Stack Developer,See listing,Not specified,Direct job posting,Hirist,https://www.hirist.tech/j/full-stack-developer-reactjs-nodejs-1648599,,High,
LeadPulse,Full Stack Developer - React.js/Node.js,See listing,Not specified,Direct job posting,Hirist,https://www.hirist.tech/j/leadpulse-full-stack-developer-react-jsnode-js-1633157,,High,
Supermove,"Software Engineer, Full-Stack (Remote)",Remote,Not specified,Direct job posting,Lever,https://jobs.lever.co/supermove/176fe130-a2cc-40da-b978-8c693fefc510,,High,
Stealth Mode Start-up,"Founding Engineer — AI Startup (Remote, India)","India, Remote",Founding (any level),Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/founding-engineer-%E2%80%94-ai-startup-remote-india-at-stealth-mode-start-up-4422304852,,High,
"ContraVault AI, Bengaluru",Founding AI Engineer,Bengaluru,Founding (any level),Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/founding-ai-engineer-at-contravault-ai-4306682993,,High,
Pulse IQ Technologies,Full Stack Developer Trainee,See listing,Fresher / New Grad,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/full-stack-developer-trainee-at-pulse-iq-technologies-4428443927,,High,
Pythrust Technologies,Generative AI Engineer Intern,See listing,Intern,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/generative-ai-engineer-intern-at-pythrust-technologies-4373312816,,High,
Goldman Sachs,Full Stack Software Internship,See listing,Intern,Direct job posting,Unstop,https://unstop.com/internships/full-stack-software-internship-goldman-sachs-1481685,,High,
Omnimise,Full Stack Developer Internship (Backend),See listing,Intern,Direct job posting,Unstop,https://unstop.com/internships/full-stack-developer-internship-backend-omnimise-1678448,,High,
Springer Capital,Full Stack Software Developer Internship,See listing,Intern,Direct job posting,Unstop,https://unstop.com/internships/full-stack-software-developer-internship-springer-capital-1529977,,High,
"Atyantik Technologies, Vadodara",Junior Full Stack Developer (Fresher),Vadodara,Fresher / New Grad,Direct job posting,Weekday,https://jobs.weekday.works/atyantik-technologies-pvt.-ltd.-junior-full-stack-developer-(fresher),,High,
Accenture,Full Stack Developer Fresher,See listing,Fresher / New Grad,Direct job posting,Weekday,https://jobs.weekday.works/accenture-full-stack-developer-jobs-fresher,,High,
TCS,Gen AI - Full Stack Developer Fresher,See listing,Fresher / New Grad,Direct job posting,Weekday,https://jobs.weekday.works/tata-consultancy-services-gen-ai---full-stack-developer-fresher,,High,
Go Picnic Technology Solutions,Full Stack Developer - Fresher,See listing,Fresher / New Grad,Direct job posting,Weekday,https://jobs.weekday.works/go-picnic-technology-solutions-full-stack-developer---fresher,,High,
ShortLoop (YC) - ₹2M-3M Bengaluru,Software Engineer - Fullstack,Bengaluru,Not specified,Direct job posting,Y Combinator,https://www.ycombinator.com/companies/shortloop/jobs/uHS0vD3-software-engineer-fullstack,,High,
FurtherAI (YC),Software Engineer - Backend/Fullstack [India],India,Not specified,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/68037,,High,
Swif.ai (YC),Full Stack Software Engineer Intern [Summer 2026],See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/62132,,High,
Stealth AI Startup,Founding Engineer - Full Stack,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/Stealth-AI-Startup-WA/e3e1b681-548b-4b25-b09a-29d5c4f48484,,Medium,
Hire Hangar,Full Stack Engineer - Founding Engineer,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/hirehangar/99ffdde3-52a1-43d1-8916-5962d17f677f,,Medium,
OpenAI,"Founding Full Stack Software Engineer, Legal",See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/openai/fcb0ed1a-9329-4e8f-8aab-92bb626d8141/application,,Medium,
Shadow,Founding Engineer – Full Stack,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/shadow/cd0647aa-ab02-401d-881b-adbce6b082d2,,Medium,
Rula,Software Engineer 2 (Remote),Remote,Not specified,Direct job posting,Ashby,https://jobs.ashbyhq.com/rula/e239b593-14c6-4bd2-939c-50b58074ed42,,Medium,
Notion,"Software Engineer, New Grad (AI)",See listing,Fresher / New Grad,Direct job posting,Ashby,https://jobs.ashbyhq.com/notion/7e6dc7fe-7ddd-42c1-8928-13f7bddb9ec9,,Medium,
fastino.ai (remote),AI Engineer,Remote,Not specified,Direct job posting,Ashby,https://jobs.ashbyhq.com/fastino-ai/d0fe2e39-6cf2-4972-8266-461bd447468a,,Medium,
,"MEAN/MERN stack developer - Cornertree Consulting, Bangalore",Bengaluru,Not specified,Direct job posting,Cutshort,https://cutshort.io/job/MEAN-MERN-stack-developer-Bangalore-Cornertree-Consulting-ANCFEhoG,,Medium,
"ShoppinPal, Pune (Remote friendly)","Senior Fullstack (React, Node, APIs) Developer","Pune, Remote",Senior / Lead,Direct job posting,Cutshort,https://cutshort.io/job/Senior-Fullstack-React-Node-APIs-Developer-Pune-ShoppinPal-8So5if4S,,Medium,
Twilio (India),Software Engineer (L2),India,Not specified,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/twilio/jobs/8044652,,Medium,
bswift India,AI Engineer,India,Not specified,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/bswiftindia/jobs/4623067006,,Medium,
DoorDash India,"Software Engineer, Backend",India,Not specified,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/doordashindia/jobs/5856393,,Medium,
Smartsheet,Software Engineer I (Remote Eligible),Remote,Not specified,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/smartsheet/jobs/7732551,,Medium,
Node.js/React.js,MERN Stack Developer,See listing,Not specified,Direct job posting,Hirist,https://www.hirist.tech/j/mern-stack-developer-nodejs-reactjs-1649343,,Medium,
Smart Working Solutions,"Full Stack Engineer (Remote, Full-Time) [IS014]",Remote,Not specified,Direct job posting,Lever,https://jobs.lever.co/smart-working-solutions/484a9b71-eaab-4862-8152-23cc56e3b144,,Medium,
MasterBorn,Junior Backend Developer (Node.js),See listing,Junior,Direct job posting,Lever,https://jobs.lever.co/masterborn-2/672c919d-3558-44e6-87ac-c5fb57c7c229,,Medium,
Full,Stack Engineer (YC Startup) - RUMI INDIA,India,Not specified,Direct job posting,LinkedIn,https://www.linkedin.com/jobs/view/full-stack-engineer-yc-startup-at-rumi-india-4313393358,,Medium,
Full,Stack Engineer - JSON Schema Developer (Remote) - Hire Feed,Remote,Not specified,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/full-stack-engineer-json-schema-developer-remote-at-hire-feed-4436934099,,Medium,
ISIR AI,Gen AI Engineer | 0-3 Years | Full-Time,See listing,Not specified,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/gen-ai-engineer-0-3-years-experience-full-time-at-isir-ai-4230384206,,Medium,
AutomatonsX,Junior AI Engineer,See listing,Junior,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/junior-ai-engineer-at-automatonsx-4329801112,,Medium,
Stealth Startup,Founding Full Stack Engineer,See listing,Founding (any level),Direct job posting,LinkedIn,https://www.linkedin.com/jobs/view/founding-full-stack-engineer-at-stealth-startup-4426923123,,Medium,
Devify Labs,Founding Developer Intern,See listing,Intern,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/founding-developer-intern-at-devify-labs-4429856905,,Medium,
PostCare AI,AI Engineer Intern [Inviting 2026 graduates],See listing,Intern,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/ai-engineer-intern-inviting-2026-graduates-at-postcare-ai-4065147221,,Medium,
GenAI,Full Stack Engineer,See listing,Not specified,Direct job posting,Lyzr AI careers,https://careers.lyzr.ai/jobs/536318-full-stack-engineer-genai,,Medium,
Sarvam AI,Engineering — Full Stack AI Engineer,See listing,Not specified,Direct job posting,NoGigiddy,https://www.nogigiddy.com/jobs/engineering-full-stack-ai-engineer-sarvam-ai-t3p7h5,careers@sarvam.ai,Medium,
AI Engineer,Intern,See listing,Intern,Direct job posting,Sarvam AI careers,https://www.sarvam.ai/careers/jobs/681f6891-9f59-4b60-a9cb-4c5cfb1454a1,careers@sarvam.ai,Medium,
ContraVault,SDE - Fresher,See listing,Fresher / New Grad,Direct job posting,TheJobCompany,https://thejobcompany.in/frontend/job_details?job_id=5077,,Medium,
ContraVault,SDE - Fresher,See listing,Fresher / New Grad,Direct job posting,Weekday,https://jobs.weekday.works/contravault-sde---fresher,,Medium,
Founding Engineer,Full-Stack / AI Integration (Equity Only),See listing,Founding (any level),Direct job posting,Wellfound,https://wellfound.com/jobs/4410791-founding-engineer-full-stack-ai-integration-equity-only,,Medium,
QubeLabs,"AI/ML Engineer – GenAI, LLM & Agentic AI",See listing,Not specified,Direct job posting,Wellfound,https://wellfound.com/jobs/3802480-ai-ml-engineer-genai-llm-agentic-ai,,Medium,
SuperKalam (YC) - ₹25-35k/mo stipend,Fullstack Engineer (Internship),See listing,Intern,Direct job posting,Y Combinator,https://www.ycombinator.com/companies/superkalam/jobs/W9Igwf9-fullstack-engineer-internship,,Medium,
Strac (YC),Software Engineer (India),India,Not specified,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/87272,,Medium,
Hub.xyz (YC),Founding Full Stack AI Engineer,See listing,Founding (any level),Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/92061,,Medium,
Reacher (YC),Software Engineer Intern (Fall 2025/Summer 2026),See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/80430,,Medium,
ThirdLayer (YC),AI Engineer Intern,See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/76658,,Medium,
Crustdata (YC),Software Engineering Intern (Forward Deployed) Summer 2026,See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/89156,,Medium,
14.ai (YC),Full Stack Engineering Internship (now and Summer 2026),See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/75639,,Medium,
Speak (YC),Full-stack Engineer Internship (Summer 2026),See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/82822,,Medium,
PathPilot (YC),Founding Engineer - AI & Full-Stack,See listing,Founding (any level),Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/94131,,Medium,
Readily (YC),Full-Stack Engineering Intern (Summer 2026),See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/80462,,Medium,
PLAUD ai,Founding Full Stack Engineer,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/PLAUD-ai/c86624c3-fec8-4536-a9db-81eca4eddb4f/application,,Medium,
Vibiz,Founding AI Full-Stack Engineer,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/vibiz/86d22583-8e71-4ccf-b172-0ac87c73c4db/application,,Medium,
Stably,Founding Full-stack Engineer,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/stably.ai/76d0f069-ffa6-4f01-9133-00cd1c75558e/,,Medium,
Plaud,Founding Full Stack Engineer,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/Plaud/c86624c3-fec8-4536-a9db-81eca4eddb4f/application,,Medium,
"Zello (Python, LLM APIs)",Applied AI Engineer,See listing,Not specified,Direct job posting,Ashby,https://jobs.ashbyhq.com/zello/2fa8cd4a-7ddb-40c6-8577-4a004c182e80,,Medium,
"Blue Yonder, Hyderabad/Bengaluru",Staff Software Engineer - MERN Stack,"Bengaluru, Hyderabad",Senior / Lead,Direct job posting,Cutshort,https://cutshort.io/job/Staff-Software-Engineer-MERN-Stack-Hyderabad-Bengaluru-Bangalore-Blue-Yonder-hJJZ7Doa,,Medium,
Node.js/React.js,Full Stack Lead Developer,See listing,Senior / Lead,Direct job posting,Hirist,https://www.hirist.tech/j/full-stack-lead-developer-nodejs-reactjs-1638872,,Medium,
Node.js/React.js,Senior Full Stack Developer,See listing,Senior / Lead,Direct job posting,Hirist,https://www.hirist.tech/j/senior-full-stack-developer-nodejs-reactjs-1634623,,Medium,
Node.js/TypeScript/AWS,Senior Full Stack Developer,See listing,Senior / Lead,Direct job posting,Hirist,https://www.hirist.tech/j/senior-full-stack-developer-node-jstypescriptaws-1641944,,Medium,
Terawe,Senior Full Stack Developer - Python/Node.js/React.js,See listing,Senior / Lead,Direct job posting,Hirist,https://www.hirist.tech/j/terawe039s-senior-full-stack-developer-python-nodejs-reactjs-1603967,,Medium,
Carnera Technologies,Senior Full Stack Developer - React.js/Node.js,See listing,Senior / Lead,Direct job posting,Hirist,https://www.hirist.tech/j/carnera-technologies-senior-full-stack-developer-react-js-node-js-1606110,,Medium,
"Raven, Bangalore",Backend Engineer,Bengaluru,Not specified,Direct job posting,Instahyre,https://www.instahyre.com/job-388854-backend-engineer-at-raven-bangalore/,founders@ravenapp.dev,Medium,
Jobgether,Full Stack Senior Software Engineer (India),India,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/jobgether/35bfd3ad-edae-4c49-aabc-477c07109855,,Medium,
Anovium,Senior Full Stack Javascript Node Backend Engineer [REMOTE],Remote,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/Anovium/c55c1aa9-2bb0-4447-bd40-cdc616adb9c2,,Medium,
Oowlish,Senior Software Engineer (Full Stack | Node.js & React | AI Focus),See listing,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/oowlish/240424ff-5a04-44df-b9bf-5530bccf7727,,Medium,
Oowlish,Senior Software Engineer (Full Stack | Node.js & React),See listing,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/oowlish/ba502ef8-6b8f-4754-8c9c-b31e16686948,,Medium,
Anovium,Senior Full Stack Python/FastApi/React Engineer [REMOTE],Remote,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/Anovium/3016fb9d-c439-4383-b2bf-a31bfdd73852,,Medium,
Gravitix Tech,Software Development Engineer,See listing,Not specified,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/software-development-engineer-fresher-at-gravitix-tech-4433451931,,Medium,
Betterbizs,Founding Engineer,See listing,Founding (any level),Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/founding-engineer-at-betterbizs-4432312980,,Medium,
KAIRO,Founding Engineer / Technical Co-Founder,See listing,Founding (any level),Direct job posting,LinkedIn,https://www.linkedin.com/jobs/view/founding-engineer-technical-co-founder-at-kairo-4437490571,,Medium,
Product Team,Full Stack Engineer,See listing,Not specified,Direct job posting,Lyzr AI careers,https://careers.lyzr.ai/jobs/639257-full-stack-engineer-product-team,,Medium,
,Full Stack Engineer,See listing,Not specified,Direct job posting,Lyzr AI careers,https://careers.lyzr.ai/jobs/532382-full-stack-engineer,,Medium,
,Engineering — Full Stack AI Engineer,See listing,Not specified,Direct job posting,Sarvam AI careers,https://www.sarvam.ai/careers/jobs/325c7d1b-963d-42a8-b2b8-a4c5c6705c54,careers@sarvam.ai,Medium,
Raven,AI Research Intern – Applied AI,See listing,Intern,Direct job posting,TheJobCompany,https://thejobcompany.co.in/frontend/job_details?job_id=4549,founders@ravenapp.dev,Medium,
"Unstop, Delhi",Software Development Engineer,Delhi,Not specified,Direct job posting,Unstop,https://unstop.com/jobs/crp-software-development-engineer-unstop-942370,,Medium,
Innovify,Full-Stack AI Engineer,See listing,Not specified,Direct job posting,Wellfound,https://wellfound.com/jobs/4037858-full-stack-ai-engineer,,Medium,
NexLinea,Full Stack Developer AI specialized,See listing,Not specified,Direct job posting,Wellfound,https://wellfound.com/jobs/4375907-full-stack-developer-ai-specialized,,Medium,
Dex (YC),2026 Summer AI/ML Engineer Intern,See listing,Intern,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/80750,,Medium,
Synth (YC),Founding Full Stack Engineer,See listing,Founding (any level),Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/77894,,Medium,
Pragmatike,Founding Full Stack AI Engineer,See listing,Founding (any level),Direct job posting,Ashby,https://jobs.ashbyhq.com/pragmatike/5ab6774c-d907-4535-9b31-fae4f70235cb,,Broad,
Rillet,Applied AI Engineer,See listing,Not specified,Direct job posting,Ashby,https://jobs.ashbyhq.com/rillet/fa5a733f-84aa-41af-8b4d-0b5be16d1e64,,Broad,
Runway,AI Full Stack Engineer,See listing,Not specified,Direct job posting,Ashby,https://jobs.ashbyhq.com/runway-ml/0feb8680-6573-458b-b00d-98aea86a94f5,,Broad,
bunch,AI Engineer,See listing,Not specified,Direct job posting,Ashby,https://jobs.ashbyhq.com/bunch/0efd48f2-c060-45b4-a35e-aeaa6d044fd1,,Broad,
"Banyan Software (India TechGrove, uses Claude Code)","Senior Full-stack Engineer - (Cloud, AI)",India,Senior / Lead,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/banyansoftware/jobs/5175902007,,Broad,
Samsara,Full-Stack Engineering Manager - Remote - India,"India, Remote",Senior / Lead,Direct job posting,Greenhouse,https://boards.greenhouse.io/samsara/jobs/8020028,,Broad,
FourKites (Chennai/Remote India),Senior AI Engineer,"Chennai, India, Remote",Senior / Lead,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/fourkites/jobs/7981512,,Broad,
Eudia,AI Engineer,See listing,Not specified,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/eudia/jobs/4019428009,,Broad,
"RockED (WFH, 3-6 yrs, Express/MongoDB)",Node.js Developer,Remote,Not specified,Direct job posting,Instahyre,https://www.instahyre.com/job-371709-node-js-developer-at-rocked-work-from-home/,,Broad,
Smart Working Solutions,"Senior Full-Stack Engineer (Remote, Full-Time), India [HR133]","India, Remote",Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/smart-working-solutions/e268a77e-bbf9-4a76-87f1-c221a292237c,,Broad,
Jobgether,"Principal Software Engineer (Remote India, ₹50-60L)","India, Remote",Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/jobgether/c4ee48e9-4a8d-4ae0-bd36-a64c65d44eec,,Broad,
CertifID,Software Engineer,See listing,Not specified,Direct job posting,Lever,https://jobs.lever.co/certifid/55deddc3-97c5-4c12-a015-132a118a2be7,,Broad,
Yassir,Senior Full Stack Engineer (Node.js & React),See listing,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/Yassir/47a6a625-c3ba-4e46-8f60-4194db24cdf4,,Broad,
Veeva Systems,Senior Frontend Engineer - React (Remote),Remote,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/veeva/866d4776-9d23-4311-ab16-4ebff725984d,,Broad,
ve.ai (the intent company),Jr AI Engineer,See listing,Junior,Direct job posting,LinkedIn,https://in.linkedin.com/jobs/view/jr-ai-engineer-at-ve-ai-the-intent-company-4416389362,,Broad,
,"Applied AI Engineer, Sarvam Agents",See listing,Not specified,Direct job posting,Sarvam AI careers,https://www.sarvam.ai/careers/jobs/30259734-50c3-4f1c-81cd-8bff07e585e7,careers@sarvam.ai,Broad,
,Forward Deployed Software Engineer (2-5 yrs),See listing,Not specified,Direct job posting,Sarvam AI careers,https://www.sarvam.ai/careers/jobs/ac2b835e-375c-48d8-a174-8c2935f408b2,careers@sarvam.ai,Broad,
Lead Founding Engineer,AI Startup (Backend/Full-Stack),See listing,Senior / Lead,Direct job posting,Wellfound,https://wellfound.com/jobs/4430578-lead-founding-engineer-ai-startup-backend-full-stack,,Broad,
TWINii,Senior Full Stack AI Engineer,See listing,Senior / Lead,Direct job posting,Wellfound,https://wellfound.com/jobs/4361929-senior-full-stack-ai-engineer,,Broad,
VoiceERP,Full-Stack Engineer for AI-native Startup,See listing,Not specified,Direct job posting,Wellfound,https://wellfound.com/jobs/4206777-full-stack-engineer-for-ai-native-startup,,Broad,
Raven,Software Engineer (Backend/AI),See listing,Not specified,Direct job posting,Y Combinator,https://www.ycombinator.com/companies/raven/jobs/7OMJHg2-software-engineer-backend-ai,founders@ravenapp.dev,Broad,
VOYGR (YC),Full-Stack Engineer,See listing,Not specified,Direct job posting,YC Work at a Startup,https://www.workatastartup.com/jobs/93900,,Broad,
PLAUD ai,Founding Senior Full Stack Engineer,See listing,Senior / Lead,Direct job posting,Ashby,https://jobs.ashbyhq.com/plaud-ai/d775c49b-e850-4b5f-8c1e-f1c40fdad3ea,,Broad,
,Kaseya Careers,See listing,Not specified,Direct job posting,Greenhouse,https://boards.greenhouse.io/kaseya/jobs/6014271004,,Broad,
Sarvam AI,AI Researcher/Research Engineer - Autonomous Agents,See listing,Not specified,Direct job posting,Khosla Ventures board,https://jobs.khoslaventures.com/companies/sarvam-ai-2/jobs/51571093-ai-researcher-research-engineer-autonomous-agents,careers@sarvam.ai,Broad,
Mediafly,Senior Software Engineer (AI & Fullstack),See listing,Senior / Lead,Direct job posting,Lever,https://jobs.lever.co/Mediafly/c7af5a83-b1b3-441d-81bf-6b292bfa3bc5,,Broad,
Midnite,Senior Fullstack Engineer - Admin/AI,See listing,Senior / Lead,Direct job posting,Ashby,https://jobs.ashbyhq.com/midnite/95a652e2-c6bd-45f8-adc9-fe65ad780808,,Broad,
Cortex,"Senior Software Engineer, Backend",See listing,Senior / Lead,Direct job posting,Greenhouse,https://job-boards.greenhouse.io/cortex/jobs/5165927008,,Broad,
,Lead Engineer GenAI,See listing,Senior / Lead,Direct job posting,Wellfound,https://wellfound.com/jobs/4147327-lead-engineer-genai,,Broad,
